soixante et un	NUM
soixante et onze	NUM
cent un	NUM
cent soixante	NUM
cent soixante et un	NUM
cent soixante et onze	NUM
cent soixante-dix	NUM
cent soixante-dix-sept	NUM
cent soixante-dix-huit	NUM
cent soixante-dix-neuf	NUM
cent soixante-douze	NUM
cent soixante-treize	NUM
cent soixante-quatorze	NUM
cent soixante-quinze	NUM
cent soixante-seize	NUM
cent soixante-quatre	NUM
cent soixante-deux	NUM
cent soixante-trois	NUM
cent soixante-cinq	NUM
cent soixante-six	NUM
cent soixante-sept	NUM
cent soixante-huit	NUM
cent soixante-neuf	NUM
cent quatre-vingt	NUM
cent quatre-vingt-un	NUM
cent quatre-vingt-dix	NUM
cent quatre-vingt-onze	NUM
cent quatre-vingt-dix-sept	NUM
cent quatre-vingt-dix-huit	NUM
cent quatre-vingt-dix-neuf	NUM
cent quatre-vingt-douze	NUM
cent quatre-vingt-treize	NUM
cent quatre-vingt-quatorze	NUM
cent quatre-vingt-quinze	NUM
cent quatre-vingt-seize	NUM
cent quatre-vingt-quatre	NUM
cent quatre-vingt-deux	NUM
cent quatre-vingt-trois	NUM
cent quatre-vingt-cinq	NUM
cent quatre-vingt-six	NUM
cent quatre-vingt-sept	NUM
cent quatre-vingt-huit	NUM
cent quatre-vingt-neuf	NUM
cent dix	NUM
cent onze	NUM
cent dix-sept	NUM
cent dix-huit	NUM
cent dix-neuf	NUM
cent douze	NUM
cent treize	NUM
cent quatorze	NUM
cent quinze	NUM
cent seize	NUM
cent vingt	NUM
cent vingt et un	NUM
cent vingt-quatre	NUM
cent vingt-deux	NUM
cent vingt-trois	NUM
cent vingt-cinq	NUM
cent vingt-six	NUM
cent vingt-sept	NUM
cent vingt-huit	NUM
cent vingt-neuf	NUM
cent trente	NUM
cent trente et un	NUM
cent trente-quatre	NUM
cent trente-deux	NUM
cent trente-trois	NUM
cent trente-cinq	NUM
cent trente-six	NUM
cent trente-sept	NUM
cent trente-huit	NUM
cent trente-neuf	NUM
cent quarante	NUM
cent quarante et un	NUM
cent quarante-quatre	NUM
cent quarante-deux	NUM
cent quarante-trois	NUM
cent quarante-cinq	NUM
cent quarante-six	NUM
cent quarante-sept	NUM
cent quarante-huit	NUM
cent quarante-neuf	NUM
cent cinquante	NUM
cent cinquante et un	NUM
cent cinquante-quatre	NUM
cent cinquante-deux	NUM
cent cinquante-trois	NUM
cent cinquante-cinq	NUM
cent cinquante-six	NUM
cent cinquante-sept	NUM
cent cinquante-huit	NUM
cent cinquante-neuf	NUM
cent septante	NUM
cent septante et un	NUM
cent septante-quatre	NUM
cent septante-deux	NUM
cent septante-trois	NUM
cent septante-cinq	NUM
cent septante-six	NUM
cent septante-sept	NUM
cent septante-huit	NUM
cent septante-neuf	NUM
cent octante	NUM
cent octante et un	NUM
cent octante-quatre	NUM
cent octante-deux	NUM
cent octante-trois	NUM
cent octante-cinq	NUM
cent octante-six	NUM
cent octante-sept	NUM
cent octante-huit	NUM
cent octante-neuf	NUM
cent huitante	NUM
cent huitante et un	NUM
cent huitante-quatre	NUM
cent huitante-deux	NUM
cent huitante-trois	NUM
cent huitante-cinq	NUM
cent huitante-six	NUM
cent huitante-sept	NUM
cent huitante-huit	NUM
cent huitante-neuf	NUM
cent nonante	NUM
cent nonante et un	NUM
cent nonante-quatre	NUM
